code_module,code_presentation,id_student,id_site,date,sum_click
CCC,2013J,100415,5000,127,6
CCC,2013J,100415,5000,46,6
CCC,2013J,100415,5000,11,14
CCC,2013J,100415,5000,100,8
CCC,2013J,100415,5000,187,10
CCC,2013J,100415,5000,84,9
CCC,2013J,100415,5000,92,2
CCC,2013J,100415,5000,237,9
CCC,2013J,100415,5000,236,5
CCC,2013J,100415,5000,111,8
CCC,2013J,100415,5000,10,5
CCC,2013J,100415,5000,163,7
CCC,2013J,100415,5000,171,6
CCC,2013J,100415,5000,219,4
CCC,2013J,100415,5000,227,7
CCC,2013J,100415,5000,150,11
CCC,2013J,100415,5000,25,6
CCC,2013J,100415,5000,59,6
CCC,2013J,100415,5000,172,3
CCC,2013J,100415,5000,145,10
BBB,2013J,100620,5001,176,6
BBB,2013J,100620,5001,171,6
BBB,2013J,100620,5001,194,4
BBB,2013J,100620,5001,211,5
BBB,2013J,100620,5001,210,3
BBB,2013J,100620,5001,40,7
BBB,2013J,100620,5001,40,7
BBB,2013J,100620,5001,49,5
BBB,2013J,100620,5001,150,5
BBB,2013J,100620,5001,139,7
BBB,2013J,100620,5001,205,6
BBB,2013J,100620,5001,202,6
BBB,2013J,100620,5001,195,4
BBB,2013J,100620,5001,18,4
BBB,2013J,100620,5001,166,7
BBB,2013J,100620,5001,204,6
BBB,2013J,100620,5001,235,4
BBB,2013J,100620,5001,82,8
BBB,2013J,100620,5001,186,4
CCC,2014J,100726,5002,97,10
CCC,2014J,100726,5002,201,5
CCC,2014J,100726,5002,191,9
CCC,2014J,100726,5002,49,3
CCC,2014J,100726,5002,43,8
CCC,2014J,100726,5002,129,5
CCC,2014J,100726,5002,156,2
CCC,2014J,100726,5002,174,8
CCC,2014J,100726,5002,75,8
CCC,2014J,100726,5002,115,4
BBB,2014J,100658,5003,25,2
BBB,2014J,100658,5003,157,2
BBB,2014J,100658,5003,175,4
BBB,2014J,100658,5003,211,3
BBB,2014J,100658,5003,140,3
BBB,2014J,100658,5003,70,3
BBB,2014J,100658,5003,48,4
BBB,2014J,100658,5003,85,6
BBB,2014J,100658,5003,13,5
BBB,2014J,100658,5003,167,4
BBB,2014J,100658,5003,88,5
CCC,2014J,100713,5004,48,2
CCC,2014J,100713,5004,58,1
CCC,2014J,100713,5004,213,7
CCC,2014J,100713,5004,83,7
CCC,2014J,100713,5004,96,4
CCC,2014J,100189,5005,1,4
CCC,2014J,100189,5005,1,2
CCC,2014J,100189,5005,187,7
CCC,2014J,100189,5005,177,5
CCC,2014J,100189,5005,198,5
CCC,2014J,100189,5005,33,3
CCC,2014J,100189,5005,14,5
AAA,2013J,100823,5006,121,8
AAA,2013J,100823,5006,25,6
AAA,2013J,100823,5006,118,3
AAA,2013J,100823,5006,200,4
AAA,2013J,100823,5006,141,3
AAA,2013J,100823,5006,130,6
AAA,2013J,100729,5007,108,7
AAA,2013J,100729,5007,105,7
AAA,2013J,100729,5007,114,5
AAA,2013J,100729,5007,212,9
AAA,2013J,100729,5007,168,2
AAA,2013J,100729,5007,8,11
AAA,2013J,100729,5007,13,11
AAA,2013J,100729,5007,5,10
AAA,2013J,100729,5007,165,6
AAA,2013J,100729,5007,49,7
AAA,2013J,100729,5007,92,5
AAA,2013J,100729,5007,198,5
AAA,2013J,100729,5007,31,9
AAA,2013J,100729,5007,36,7
AAA,2013J,100729,5007,19,12
AAA,2013J,100729,5007,68,12
AAA,2013J,100729,5007,21,4
AAA,2013J,100729,5007,150,6
AAA,2013J,100729,5007,176,7
CCC,2014J,100872,5008,44,6
CCC,2014J,100872,5008,165,3
CCC,2014J,100872,5008,62,14
CCC,2014J,100872,5008,211,5
CCC,2014J,100872,5008,108,6
CCC,2014J,100872,5008,100,10
CCC,2014J,100872,5008,109,10
CCC,2014J,100872,5008,71,8
CCC,2014J,100872,5008,76,5
AAA,2014J,100812,5009,32,13
AAA,2014J,100812,5009,176,7
AAA,2014J,100812,5009,220,8
AAA,2014J,100812,5009,65,7
AAA,2014J,100812,5009,153,7
AAA,2014J,100812,5009,56,10
AAA,2014J,100812,5009,220,6
AAA,2014J,100812,5009,71,10
AAA,2014J,100812,5009,23,9
AAA,2014J,100812,5009,211,9
AAA,2014J,100812,5009,226,8
AAA,2014J,100812,5009,95,11
AAA,2014J,100812,5009,217,7
AAA,2014J,100812,5009,58,7
AAA,2014J,100812,5009,65,7
AAA,2014J,100812,5009,128,9
AAA,2014J,100812,5009,144,15
AAA,2014J,100812,5009,92,8
AAA,2014J,100812,5009,191,7
AAA,2014J,100812,5009,189,11
AAA,2014J,100812,5009,29,11
AAA,2014J,100812,5009,237,5
BBB,2013J,100268,5010,19,1
BBB,2013J,100268,5010,31,1
AAA,2013J,100459,5011,4,3
AAA,2013J,100459,5011,40,5
AAA,2013J,100459,5011,20,6
